Electoral District,GUID,Speakers2006,Speakers2011,Speakers2016,Speakers2022,Speakers2027,OptimizedAbandonmentFraction,OptimizedProbAcquisition,Error
BALLYBAAN,2ae19629-235a-13a3-e055-000000000001,0.0204147764095917,0.0161121755791673,0.0176839703365658,0.0128422023992617,0.01698260667597736,0.12096094298685992,0.18105188455707677,0.002831884515558738
BALLYBRIT,2ae19629-235b-13a3-e055-000000000001,0.0361271676300578,0.030057803468208,0.0273224043715847,0.0230263157894736,0.02619016692968932,0.13694388368828456,0.16708164863660097,0.005731661871014013
BARNA,2ae19629-235c-13a3-e055-000000000001,0.0500331895121141,0.0505013270421704,0.0481986031394785,0.0440341795047714,0.0447107618031564,0.15847628158472296,0.16901911845898293,0.0025939637160257295
CASTLEGAR,2ae19629-235d-13a3-e055-000000000001,0.0260266049739733,0.0232617586912065,0.0261941448382126,0.0214694656488549,0.025115699138035373,0.1339835192122517,0.16973802513256417,0.0008621026074333848
CLADDAGH,2ae19629-235e-13a3-e055-000000000001,0.0385064177362893,0.0446764091858037,0.0341042728341826,0.0283159463487332,0.03232723896242132,0.14140554004311467,0.1734401855992344,0.013107112031242072
DANGAN,2ae19629-235f-13a3-e055-000000000001,0.0353313840155945,0.0268756998880179,0.0238746580452623,0.0196859101968591,0.022969930594439927,0.13411117633952044,0.1689914077748483,0.006137787203251685
EYRE SQUARE,2ae19629-2360-13a3-e055-000000000001,0.0309278350515463,0.0266787248473886,0.0198821796759941,0.0156675749318801,0.01917621125603292,0.12904805687567752,0.17323958219364805,0.009732022888307917
KNOCKNACARRAGH,2ae19629-2361-13a3-e055-000000000001,0.0416966211358734,0.0371621621621621,0.044735030970406,0.0292887029288702,0.040908533629759186,0.13323875031549864,0.2093976086927289,0.005298441060483345
LOUGH ATALIA,2ae19629-236f-13a3-e055-000000000001,0.0511882998171846,0.0505050505050505,0.0535917901938426,0.046189376443418,0.04924199355143957,0.15724433780619884,0.17859217470920474,0.0002133155522141411
MENLOUGH,2ae19629-2370-13a3-e055-000000000001,0.0337958022056207,0.0325523533070702,0.0286290322580645,0.0301879627871653,0.0273642373661104,0.15842087149008371,0.14312642420069752,0.0008143530851203
MERVUE,2ae19629-2371-13a3-e055-000000000001,0.014975845410628,0.0245714285714285,0.0228667038482989,0.0261261261261261,0.021941520555740827,0.16600311958336839,0.13498655603900578,0.002426642911262416
MURROOGH,2ae19629-2372-13a3-e055-000000000001,0.0215796288303841,0.022090059473237,0.0226029894276339,0.016352648418059,0.021569292122091556,0.12137667014726346,0.18164444483556855,0.00500299966273994
NEWCASTLE,2ae19629-2373-13a3-e055-000000000001,0.0275932549821154,0.0273743016759776,0.0161987041036717,0.0151591712986356,0.015812771032441414,0.14526122333706556,0.1561470356330431,0.010151707617848853
NUNS ISLAND,2ae19629-2374-13a3-e055-000000000001,0.0408472012102874,0.0338582677165354,0.0355153203342618,0.0207591933570581,0.03242330626026391,0.11272889231198023,0.21129320805498614,0.011319781456255146
RAHOON,2ae19629-2375-13a3-e055-000000000001,0.0431654676258992,0.0350385423966363,0.0285132382892057,0.0244995518374663,0.027305063566853666,0.13911356575786332,0.16526496388297227,0.008633104039290802
RENMORE,2ae19629-2376-13a3-e055-000000000001,0.0246376811594202,0.040381791483113,0.034294621979735,0.0268361581920903,0.032400931187188196,0.13623081250114036,0.17985120908056645,0.011094678005164296
ROCKBARTON,2ae19629-2377-13a3-e055-000000000001,0.0388294879009566,0.0378263185935002,0.0296116504854368,0.0402869757174392,0.02746690751774617,0.18517440077940922,0.11543705745733673,0.00475567881805012
St. NICHOLAS,2ae19629-2384-13a3-e055-000000000001,0.0367146101438304,0.0274833137023949,0.0270956816257408,0.0235774913549198,0.026008711643027847,0.14002685383028654,0.1638690444174564,0.0028037620169336884
SALTHILL,2ae19629-2382-13a3-e055-000000000001,0.0322977545370655,0.0351085986313597,0.032276492430734,0.031054131054131,0.030757934575931706,0.1517617492620606,0.15463028092014078,0.002253979435480013
SHANTALLA,2ae19629-2383-13a3-e055-000000000001,0.0352617079889807,0.0421965317919075,0.0261437908496732,0.0209718670076726,0.025039583723015995,0.13188544987414605,0.17185151118617356,0.017498556505992195
TAYLORS HILL,2ae19629-2385-13a3-e055-000000000001,0.0392979778710415,0.0393401015228426,0.0381811870878167,0.0328839197632357,0.03600856506033197,0.14671658238455887,0.17086667494209845,0.004142877402563659
WELLPARK,2ae19629-2386-13a3-e055-000000000001,0.0162548764629388,0.0221606648199446,0.0171884591774094,0.0144766146993318,0.01670356743509102,0.13506364244544425,0.16665173907594238,0.006810269731378341
BALLINASLOE URBAN,2ae19629-205d-13a3-e055-000000000001,0.0174589455488331,0.0156888380454322,0.0103027421144396,0.0092804111936036,0.010133996908925578,0.140744236265128,0.1600369553082691,0.005641145325881846
ABBEYGORMACAN,2ae19629-2101-13a3-e055-000000000001,0.0124378109452736,0.0074626865671641,0.0,0.0,0.0,0.2,0.1,0.0
AHASCRAGH,2ae19629-2047-13a3-e055-000000000001,0.0165837479270315,0.0180032733224222,0.0102389078498293,0.0167224080267558,0.009499020347023195,0.20280105391632836,0.09716362184209151,2.634223114153164e-05
AUGHRIM,2ae19629-2052-13a3-e055-000000000001,0.0162748643761302,0.0103806228373702,0.0071942446043165,0.0141843971631205,0.0063540555598887655,0.22368165307263588,0.076109023182016,0.004181626328274056
BALLINASLOE RURAL,2ae19629-205c-13a3-e055-000000000001,0.0396396396396396,0.0239316239316239,0.0306306306306306,0.0092250922509225,0.023800535794223535,0.04995074002298723,0.2623327082204891,0.013416149239793425
BALLYMACWARD,2ae19629-2076-13a3-e055-000000000001,0.0227272727272727,0.0265780730897009,0.0235690235690235,0.0033112582781456,0.0134017052942157,0.0,0.32464783780414186,0.022236099344793488
CLONFERT,2ae19629-2105-13a3-e055-000000000001,0.0046948356807511,0.0,0.0073170731707317,0.0,0.0,0.0,0.8830883496849528,0.004306311567184829
CLONTUSKERT,2ae19629-2048-13a3-e055-000000000001,0.0180995475113122,0.0192307692307692,0.0144927536231884,0.0,0.0,0.0,0.8928307635040951,0.018497704635223607
