Electoral District,GUID,Speakers2006,Speakers2011,Speakers2016,Speakers2022,Speakers2027,OptimizedAbandonmentFraction,OptimizedProbAcquisition,Error
BALLYBAAN,2ae19629-235a-13a3-e055-000000000001,0.0204147764095917,0.0161121755791673,0.0176839703365658,0.0128422023992617,0.017259521211609632,0.005782426893273521,0.06767241562422169,0.003213370832951229
BALLYBRIT,2ae19629-235b-13a3-e055-000000000001,0.0361271676300578,0.030057803468208,0.0273224043715847,0.0230263157894736,0.026971584693746012,0.01363302279574891,0.04691995741562827,0.0067685773154490605
BARNA,2ae19629-235c-13a3-e055-000000000001,0.0500331895121141,0.0505013270421704,0.0481986031394785,0.0440341795047714,0.04756269039947109,0.01737900324664735,0.034481298642684795,0.005899430814449311
CASTLEGAR,2ae19629-235d-13a3-e055-000000000001,0.0260266049739733,0.0232617586912065,0.0261941448382126,0.0214694656488549,0.02580849608269896,0.012751989609825697,0.05144299456335437,0.0016538630928296105
CLADDAGH,2ae19629-235e-13a3-e055-000000000001,0.0385064177362893,0.0446764091858037,0.0341042728341826,0.0283159463487332,0.0335529190906537,0.014502218226869867,0.050558582829866194,0.015104313693594194
DANGAN,2ae19629-235f-13a3-e055-000000000001,0.0353313840155945,0.0268756998880179,0.0238746580452623,0.0196859101968591,0.0235528034907241,0.012302649409777879,0.04987838341088727,0.006943522498319442
EYRE SQUARE,2ae19629-2360-13a3-e055-000000000001,0.0309278350515463,0.0266787248473886,0.0198821796759941,0.0156675749318801,0.019561420379993952,0.009644864930800317,0.055998988222511495,0.01036110866923803
KNOCKNACARRAGH,2ae19629-2361-13a3-e055-000000000001,0.0416966211358734,0.0371621621621621,0.044735030970406,0.0292887029288702,0.042539944486703556,0.013227820533799967,0.09394697809563425,0.007307274235728575
LOUGH ATALIA,2ae19629-236f-13a3-e055-000000000001,0.0511882998171846,0.0505050505050505,0.0535917901938426,0.046189376443418,0.052573310725053155,0.016905378715909292,0.045342623668687194,0.0039352583729603055
MENLOUGH,2ae19629-2370-13a3-e055-000000000001,0.0337958022056207,0.0325523533070702,0.0286290322580645,0.0301879627871653,0.02849944475256113,0.018992750579809956,0.00777646738853824,0.001993895003526095
MERVUE,2ae19629-2371-13a3-e055-000000000001,0.014975845410628,0.0245714285714285,0.0228667038482989,0.0261261261261261,0.022705311888229742,0.02767761728909686,4.758759450076608e-07,0.0017081234513850393
MURROOGH,2ae19629-2372-13a3-e055-000000000001,0.0215796288303841,0.022090059473237,0.0226029894276339,0.016352648418059,0.02200894029317033,0.00831892161318797,0.07084045637161597,0.005659159959235858
NEWCASTLE,2ae19629-2373-13a3-e055-000000000001,0.0275932549821154,0.0273743016759776,0.0161987041036717,0.0151591712986356,0.01613351803745172,0.014033028331793259,0.02698913736373361,0.01062353621226944
NUNS ISLAND,2ae19629-2374-13a3-e055-000000000001,0.0408472012102874,0.0338582677165354,0.0355153203342618,0.0207591933570581,0.03324806140174349,0.008812946007122511,0.11038671340519711,0.012919347593981105
RAHOON,2ae19629-2375-13a3-e055-000000000001,0.0431654676258992,0.0350385423966363,0.0285132382892057,0.0244995518374663,0.028177247400851504,0.014303575322066973,0.043806414942784845,0.009900154964714053
RENMORE,2ae19629-2376-13a3-e055-000000000001,0.0246376811594202,0.040381791483113,0.034294621979735,0.0268361581920903,0.03354790937461067,0.013416257951508513,0.060862423020770835,0.012889302392210138
ROCKBARTON,2ae19629-2377-13a3-e055-000000000001,0.0388294879009566,0.0378263185935002,0.0296116504854368,0.0402869757174392,0.02867851055604505,0.06571753684911827,4.19294673239648e-07,0.0033290437745000442
St. NICHOLAS,2ae19629-2384-13a3-e055-000000000001,0.0367146101438304,0.0274833137023949,0.0270956816257408,0.0235774913549198,0.026810984325696396,0.014335443200612547,0.041400822102405574,0.003766597898417774
SALTHILL,2ae19629-2382-13a3-e055-000000000001,0.0322977545370655,0.0351085986313597,0.032276492430734,0.031054131054131,0.03205727874279875,0.017209435422219903,0.02435419320919122,0.0037222451521259255
SHANTALLA,2ae19629-2383-13a3-e055-000000000001,0.0352617079889807,0.0421965317919075,0.0261437908496732,0.0209718670076726,0.02571007604270905,0.01219631734852548,0.0550321164464071,0.01883126608976855
TAYLORS HILL,2ae19629-2385-13a3-e055-000000000001,0.0392979778710415,0.0393401015228426,0.0381811870878167,0.0328839197632357,0.037627827499761735,0.015678696446021666,0.04454437682501621,0.006140583070469122
WELLPARK,2ae19629-2386-13a3-e055-000000000001,0.0162548764629388,0.0221606648199446,0.0171884591774094,0.0144766146993318,0.017020478971160925,0.01053232207100624,0.04412087713109982,0.0072749922842548324
BALLINASLOE URBAN,2ae19629-205d-13a3-e055-000000000001,0.0174589455488331,0.0156888380454322,0.0103027421144396,0.0092804111936036,0.01026157262967108,0.00928346234296164,0.029875629645906364,0.005834826504862898
ABBEYGORMACAN,2ae19629-2101-13a3-e055-000000000001,0.0124378109452736,0.0074626865671641,0.0,0.0,0.0,0.02,5e-07,0.0
AHASCRAGH,2ae19629-2047-13a3-e055-000000000001,0.0165837479270315,0.0180032733224222,0.0102389078498293,0.0167224080267558,0.009635458548539427,0.10439870210332988,0.0,0.00017510183061551082
AUGHRIM,2ae19629-2052-13a3-e055-000000000001,0.0162748643761302,0.0103806228373702,0.0071942446043165,0.0141843971631205,0.006411812531306097,0.14683312230163015,0.0,0.0040883272434616615
BALLINASLOE RURAL,2ae19629-205c-13a3-e055-000000000001,0.0396396396396396,0.0239316239316239,0.0306306306306306,0.0092250922509225,0.023966118223902984,1.930225576665841e-07,0.2133838557823593,0.014230970585109791
BALLYMACWARD,2ae19629-2076-13a3-e055-000000000001,0.0227272727272727,0.0265780730897009,0.0235690235690235,0.0033112582781456,0.013401705220114607,3.2528081837251113e-07,0.3246481636593273,0.023022754436799072
CLONFERT,2ae19629-2105-13a3-e055-000000000001,0.0046948356807511,0.0,0.0073170731707317,0.0,0.0,0.0,0.8912440089697135,0.006614071364719424
CLONTUSKERT,2ae19629-2048-13a3-e055-000000000001,0.0180995475113122,0.0192307692307692,0.0144927536231884,0.0,0.0,0.0,0.8981667109190905,0.01883851884633958
KELLYSGROVE,2ae19629-237b-13a3-e055-000000000001,0.0388059701492537,0.0134048257372654,0.0286532951289398,0.0080645161290322,0.02189956653223697,0.0001298032311334355,0.22409341927339443,0.003414486648398477
KILCONNELL,2ae19629-2398-13a3-e055-000000000001,0.0121580547112462,0.012326656394453,0.0138674884437596,0.0094191522762951,0.013436404154384395,0.00010195275157881342,0.07454452203799872,0.002852881397437895
KILLAAN,2ae19629-23a6-13a3-e055-000000000001,0.0278330019880715,0.0081632653061224,0.0139165009940357,0.0072202166064981,0.012830398867583762,1.103638710597242e-06,0.12299212267977835,0.0003885884863071287
KILLALLAGHTAN,2ae19629-23a7-13a3-e055-000000000001,0.0048192771084337,0.0023696682464454,0.009090909090909,0.016260162601626,0.008350888385995238,0.12477191527323614,6.407797434474433e-07,0.014837098439292856
KILLORAN,2ae19629-22f7-13a3-e055-000000000001,0.0108303249097472,0.0036764705882352,0.0,0.0036363636363636,0.0032869930715138896,0.02,5e-07,0.0036363636363636
KILLURE,2ae19629-2306-13a3-e055-000000000001,0.0078636959370904,0.0038961038961038,0.0042735042735042,0.0041608876560332,0.004270943369848202,0.00826926175045308,0.013561197251216042,0.0002731708055305577
KILMACSHANE,2ae19629-2316-13a3-e055-000000000001,0.0,0.0,0.0,0.0132743362831858,0.011998978849290765,0.02,5e-07,0.0132743362831858
KILTORMER,2ae19629-233d-13a3-e055-000000000001,0.0124333925399644,0.0057581573896353,0.0021141649048625,0.0040080160320641,0.001920260925461395,0.13685023041070804,1.8581272667574166e-15,0.0008500164743786938
KYLEMORE,2ae19629-234d-13a3-e055-000000000001,0.0119760479041916,0.0063291139240506,0.0,0.0,0.0,0.02,5e-07,0.0
LAURENCETOWN,2ae19629-2358-13a3-e055-000000000001,0.0027624309392265,0.0087463556851311,0.0029498525073746,0.0080645161290322,0.0022717817249248047,0.2238300358948203,1.4816880531776615e-06,0.0008902957301441718
LISMANNY,2ae19629-2380-13a3-e055-000000000001,0.0436681222707423,0.0265486725663716,0.0326530612244898,0.0314960629921259,0.03243143522370326,0.01729117780285971,0.023923878651400127,0.005355933933740151
OATFIELD,2ae19629-22de-13a3-e055-000000000001,0.0075757575757575,0.0072115384615384,0.0169082125603864,0.0068965517241379,0.01464959494705329,0.00011821061408199442,0.16430811820673824,0.0009193437635169541
BALLYNAKILL,2ae19629-208c-13a3-e055-000000000001,0.029296875,0.0295138888888888,0.0163170163170163,0.0177865612648221,0.016262301833114796,0.019579743000095965,0.0018524211455954785,0.009618611620645676
BENCORR,2ae19629-20a6-13a3-e055-000000000001,0.0081967213114754,0.0288065843621399,0.0134529147982062,0.0420560747663551,0.009212840061563386,0.26190381749822317,0.0,0.016303031590028483
BUNOWEN,2ae19629-20b1-13a3-e055-000000000001,0.0142857142857142,0.0022573363431151,0.0073891625615763,0.0050632911392405,0.007181076260077163,1.9025747485669506e-06,0.07281446355393864,0.0035175869177940583
CLEGGAN,2ae19629-20f4-13a3-e055-000000000001,0.0141843971631205,0.0,0.0074626865671641,0.0101351351351351,0.0072941308082239125,0.06367029676697719,0.0,0.0033894404620825828
CLIFDEN,2ae19629-20f5-13a3-e055-000000000001,0.021329365079365,0.017592962814874,0.0176610978520286,0.0124254473161033,0.017168477530569708,0.004797616948640377,0.07263145238569552,0.0051173523663777445
Crump Island,2ae19629-2300-13a3-e055-000000000001,0.005813953488372,0.0121457489878542,0.019047619047619,0.0150943396226415,0.018755697512448,0.009409614290290814,0.05470474023284488,0.0035671967722997484
DOONLOUGHAN,2ae19629-2314-13a3-e055-000000000001,0.06,0.0,0.0,0.0,0.0,0.02,5e-07,0.0
ERRISLANNAN,2ae19629-232c-13a3-e055-000000000001,0.0089285714285714,0.009009009009009,0.0047169811320754,0.0,0.0,0.0,0.8619502309603152,0.008337378859927365
ILLION,2ae19629-2367-13a3-e055-000000000001,0.2127659574468085,0.2631578947368421,0.1630434782608695,0.1176470588235294,0.15036682012400446,0.01822932128052613,0.07879197475956139,0.10846687260743444
INISHBOFIN,2ae19629-2368-13a3-e055-000000000001,0.0259067357512953,0.0063291139240506,0.0178571428571428,0.0164835164835164,0.017769240736335616,0.014009595789503256,0.029648329015999883,0.01173924910227119
KNOCKBOY,2ae19629-234c-13a3-e055-000000000001,0.6216216216216216,0.5765432098765432,0.5879332477535302,0.5164705882352941,0.5082207084331811,0.019967573258139696,0.034406013969712594,0.020425546104141823
MOYRUS,2ae19629-22dd-13a3-e055-000000000001,0.0784313725490196,0.1,0.0789473684210526,0.0825688073394495,0.07800406000255325,0.019575073297181403,0.008991061433872839,0.013085273667944486
OWENGOWLA,2ae19629-22e1-13a3-e055-000000000001,0.5775577557755776,0.6193771626297578,0.5914396887159533,0.5050847457627119,0.5048500709342704,0.019841262649285558,0.03989470683145188,0.050285958362426886
RINVYLE,2ae19629-22fa-13a3-e055-000000000001,0.0212071778140293,0.0155763239875389,0.0193602693602693,0.0147783251231527,0.018990629260153394,0.008420772144379904,0.06085354516909552,0.0005826623133388716
ROUNDSTONE,2ae19629-22fc-13a3-e055-000000000001,0.0603674540682414,0.0408163265306122,0.0194647201946472,0.0139211136890951,0.01894858390579634,0.006464762681355684,0.07119585820907781,0.022539555299309844
SILLERNA,2ae19629-230b-13a3-e055-000000000001,0.0138568129330254,0.0115473441108545,0.0157068062827225,0.0066518847006651,0.01375861836106113,0.00011296960063158182,0.15799674551516338,0.004613966531838446
SKANNIVE,2ae19629-230c-13a3-e055-000000000001,0.6828046744574291,0.6539634146341463,0.6677740863787376,0.6190476190476191,0.5849148412514169,0.0200015369877735,0.0220852051090855,0.012401823329550088
ANNAGHDOWN,2ae19629-204f-13a3-e055-000000000001,0.0459912989434431,0.0389321468298109,0.0314743235781336,0.0272536687631027,0.03109286723061939,0.014947904335631883,0.042889515611550875,0.010894834800604311
AUGHRIM,2ae19629-2051-13a3-e055-000000000001,0.0237154150197628,0.0114135206321334,0.0169491525423728,0.0103174603174603,0.016118825615746363,7.091945719529873e-09,0.09450728119964398,0.0006474698571057869
BALLINTEMPLE,2ae19629-2069-13a3-e055-000000000001,0.0352588147036759,0.0199714693295292,0.0287921348314606,0.0188679245283018,0.027577622571158672,0.008675401956529391,0.08951683674216918,0.0003459227234881533
BALLYNACOURTY,2ae19629-207f-13a3-e055-000000000001,0.0411483253588516,0.0195555555555555,0.0070360598065083,0.0151133501259445,0.006067122368648136,0.16684769120995352,0.0,0.0011906055692441162
BARNA,2ae19629-2098-13a3-e055-000000000001,0.1015597920277296,0.0725014442518775,0.0638594534300055,0.0692859039023095,0.06330337267901855,0.019875282120409028,0.002118439104096946,0.0015777087302145942
BELLEVILLE,2ae19629-20a5-13a3-e055-000000000001,0.0103950103950103,0.0055452865064695,0.0085616438356164,0.0109034267912772,0.008436059671836155,0.05001828739564673,1.7923135422798745e-07,0.005600517093553557
CARNMORE,2ae19629-20cb-13a3-e055-000000000001,0.0418899171943497,0.0230675839740995,0.023002421307506,0.0186219739292365,0.02266357452974724,0.011518804528109206,0.05264617396807991,0.0043539435328080675
CARROWBROWNE,2ae19629-20cc-13a3-e055-000000000001,0.0548271752085816,0.0571095571095571,0.0458422174840085,0.0404858299595141,0.04516113906169208,0.016740781131948185,0.04055457949993537,0.01508814359619811
CLAREGALWAY,2ae19629-20e2-13a3-e055-000000000001,0.0375426621160409,0.0334903192046049,0.0270935960591133,0.0227272727272727,0.026737875365005482,0.013487052612106261,0.04768191676500962,0.010151497340776437
