Electoral District,GUID,Speakers2006,Speakers2011,Speakers2016,Speakers2022,Speakers2027,OptimizedAbandonmentFraction,OptimizedProbAcquisition
BALLYBAAN,2ae19629-235a-13a3-e055-000000000001,0.0204147764095917,0.0161121755791673,0.0176839703365658,0.0128422023992617,0.016631290142877286,0.27038874748374203,0.32814692097057974
BALLYBRIT,2ae19629-235b-13a3-e055-000000000001,0.0361271676300578,0.030057803468208,0.0273224043715847,0.0230263157894736,0.025283965541986878,0.2855815446476762,0.31192514166395824
BARNA,2ae19629-235c-13a3-e055-000000000001,0.0500331895121141,0.0505013270421704,0.0481986031394785,0.0440341795047714,0.042134003988315544,0.2954538025478672,0.2996317003886737
CASTLEGAR,2ae19629-235d-13a3-e055-000000000001,0.0260266049739733,0.0232617586912065,0.0261941448382126,0.0214694656488549,0.024295766316633494,0.28274801036450736,0.3149009748245705
CLADDAGH,2ae19629-235e-13a3-e055-000000000001,0.0385064177362893,0.0446764091858037,0.0341042728341826,0.0283159463487332,0.031007148764289214,0.28468009147155654,0.31217710169421925
DANGAN,2ae19629-235f-13a3-e055-000000000001,0.0353313840155945,0.0268756998880179,0.0238746580452623,0.0196859101968591,0.02228020723307624,0.2831279551959039,0.314712119299474
EYRE SQUARE,2ae19629-2360-13a3-e055-000000000001,0.0309278350515463,0.0266787248473886,0.0198821796759941,0.0156675749318801,0.018707143293699727,0.27839866331598984,0.3198864353197238
KNOCKNACARRAGH,2ae19629-2361-13a3-e055-000000000001,0.0416966211358734,0.0371621621621621,0.044735030970406,0.0292887029288702,0.03923474601526649,0.26249488563271317,0.33375001428125356
LOUGH ATALIA,2ae19629-236f-13a3-e055-000000000001,0.0511882998171846,0.0505050505050505,0.0535917901938426,0.046189376443418,0.046317749986036195,0.29004783718252564,0.30469249297748363
MENLOUGH,2ae19629-2370-13a3-e055-000000000001,0.0337958022056207,0.0325523533070702,0.0286290322580645,0.0301879627871653,0.026203117403640445,0.3083153746136163,0.2886358393360151
MERVUE,2ae19629-2371-13a3-e055-000000000001,0.014975845410628,0.0245714285714285,0.0228667038482989,0.0261261261261261,0.021147018679243512,0.31607750047770733,0.28143652635469346
MURROOGH,2ae19629-2372-13a3-e055-000000000001,0.0215796288303841,0.022090059473237,0.0226029894276339,0.016352648418059,0.02100578483658858,0.27041242118142306,0.32771122817659926
NEWCASTLE,2ae19629-2373-13a3-e055-000000000001,0.0275932549821154,0.0273743016759776,0.0161987041036717,0.0151591712986356,0.01545614639481478,0.29495992465057064,0.3034843182315166
NUNS ISLAND,2ae19629-2374-13a3-e055-000000000001,0.0408472012102874,0.0338582677165354,0.0355153203342618,0.0207591933570581,0.031361157808878166,0.25136152927388156,0.3459169985936492
RAHOON,2ae19629-2375-13a3-e055-000000000001,0.0431654676258992,0.0350385423966363,0.0285132382892057,0.0244995518374663,0.026309092238925386,0.2876016536542453,0.3097675824455003
RENMORE,2ae19629-2376-13a3-e055-000000000001,0.0246376811594202,0.040381791483113,0.034294621979735,0.0268361581920903,0.031127215162865846,0.2788683292119904,0.3180490639863257
