OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
12,67002,ABBEY WEST, ,GALWAY,Gaillimh,Connacht,549586.4784,742452.4588,2AE19629210013A3E055000000000001,27179,67002,Abbey West,15955598.91,21362.99549
21,67077,CURRAGHMORE, ,GALWAY,Gaillimh,Connacht,567129.1825,756673.0152,2AE1962922FF13A3E055000000000001,27071,67077,Curraghmore,20417503.3,22913.91017
22,67064,CLOONBUR,An Fhairche,GALWAY,Gaillimh,Connacht,508804.1327,755236.0177,2AE19629204913A3E055000000000001,27150,67064,An Fhairche,59524768.31,42006.02838
25,67108,ILLION,An Uillinn,GALWAY,Gaillimh,Connacht,488533.7945,749827.2416,2AE19629236713A3E055000000000001,27031,67108,An Uillinn,36127911.28,39947.76417
30,67016,BALLINASLOE RURAL, ,GALWAY,Gaillimh,Connacht,581167.2352,730718.2635,2AE19629205C13A3E055000000000001,27005,67016,Ballinasloe Rural,19012308.33,23626.74426
59,67199,SILLERNA, ,GALWAY,Gaillimh,Connacht,458257.0155,756681.4855,2AE19629230B13A3E055000000000001,27038,67199,Sillerna,23217486.17,40590.11139
60,67011,ARDAMULLIVAN, ,GALWAY,Gaillimh,Connacht,546978.6854,696143.9477,2AE19629205A13A3E055000000000001,27081,67011,Ardamullivan,42061709.15,33904.96401
74,67131,KILLERORAN, ,GALWAY,Gaillimh,Connacht,577584.3147,754405.5314,2AE1962922E813A3E055000000000001,27144,67131,Killeroran,55334796.68,38005.55944
91,67068,COLMANSTOWN, ,GALWAY,Gaillimh,Connacht,560345.4913,737963.431,2AE19629205513A3E055000000000001,27108,67068,Colmanstown,10018639.46,12711.71585
122,67212,TUAM URBAN, ,GALWAY,Gaillimh,Connacht,543563.9152,751951.6962,2AE19629233F13A3E055000000000001,27216,67212,Tuam Urban,2236530.192,7280.237104
126,67143,KILMEEN, ,GALWAY,Gaillimh,Connacht,569603.1462,717230.1232,2AE19629232313A3E055000000000001,27120,67143,Kilmeen,30412826.28,37750.99997
155,67121,KILCUMMIN,Cill Chuimín,GALWAY,Gaillimh,Connacht,501123.0888,739444.7472,2AE1962923A413A3E055000000000001,27155,67121,Cill Chuimín,59774679.32,43438.29492
205,67204,STRADBALLY, ,GALWAY,Gaillimh,Connacht,543954.4633,724547.1883,2AE19629232613A3E055000000000001,27064,67204,Stradbally,16182133.46,21586.44883
218,68014,NUNS ISLAND, ,GALWAY,Gaillimh,Connacht,529307.3538,725534.0056,2AE19629237413A3E055000000000001,26014,68014,Nuns Island,709600.8911,3879.332479
222,67142,KILMALINOGE, ,GALWAY,Gaillimh,Connacht,586854.2629,708354.5781,2AE19629231713A3E055000000000001,27170,67142,Kilmalinoge,20274628.11,22475.19152
239,67107,HILLSBROOK, ,GALWAY,Gaillimh,Connacht,552936.2585,749505.5089,2AE19629235613A3E055000000000001,27199,67107,Hillsbrook,23489763.36,23085.04692
297,67201,SKEHANAGH, ,GALWAY,Gaillimh,Connacht,547255.1149,709655.1515,2AE19629231813A3E055000000000001,27099,67201,Skehanagh,15964189.74,25348.23241
305,67044,CAMUS,Camas,GALWAY,Gaillimh,Connacht,497219.6037,734354.5076,2AE1962920BE13A3E055000000000001,27149,67044,Camas,36619029.14,47110.28582
339,68011,MERVUE, ,GALWAY,Gaillimh,Connacht,532269.2986,726515.0575,2AE19629237113A3E055000000000001,26011,68011,Mervue,880808.1356,4581.642785
368,67183,OATFIELD, ,GALWAY,Gaillimh,Connacht,576997.5522,724655.6603,2AE1962922DE13A3E055000000000001,27020,67183,Oatfield,22661819.33,26459.68761
372,67060,CLONBERN, ,GALWAY,Gaillimh,Connacht,553478.8303,756358.9743,2AE19629210313A3E055000000000001,27190,67060,Clonbern,25996457.31,28325.21543
376,67184,ORANMORE, ,GALWAY,Gaillimh,Connacht,539854.6546,725569.2469,2AE1962922DF13A3E055000000000001,27060,67184,Oranmore,22491557.63,21836.35161
390,67132,KILLIAN, ,GALWAY,Gaillimh,Connacht,572618.2847,747837.6312,2AE1962922E913A3E055000000000001,27145,67132,Killian,26532134.49,29977.05179
400,67003,ABBEYGORMACAN, ,GALWAY,Gaillimh,Connacht,575924.8045,717421.7144,2AE19629210113A3E055000000000001,27002,67003,Abbeygormacan,26332559.95,38037.32609
410,68015,RAHOON, ,GALWAY,Gaillimh,Connacht,527101.8784,726972.5954,2AE19629237513A3E055000000000001,26015,68015,Rahoon,5031500.979,11332.91892
417,67076,CUR,An Chorr,GALWAY,Gaillimh,Connacht,494025.5894,752370.3821,2AE1962922F313A3E055000000000001,27153,67076,An Chorr,45486836.73,33904.18972
434,68013,NEWCASTLE, ,GALWAY,Gaillimh,Connacht,528574.3653,726093.125,2AE19629237313A3E055000000000001,26013,68013,Newcastle,786469.5026,4081.72462
437,67097,FURBOGH,Na Forbacha,GALWAY,Gaillimh,Connacht,518961.8345,725844.5675,2AE19629233813A3E055000000000001,27051,67097,Na Forbacha,27775539.52,24947.76646
438,67173,MILLTOWN, ,GALWAY,Gaillimh,Connacht,539154.6691,764996.7522,2AE19629239B13A3E055000000000001,27210,67173,Milltown,27820934.96,25347.36515
466,67177,MOUNTAIN, ,GALWAY,Gaillimh,Connacht,562147.8047,709582.7173,2AE1962923AB13A3E055000000000001,27130,67177,Mountain,24625060.47,30389.92054
478,67140,KILLURSA, ,GALWAY,Gaillimh,Connacht,521234.187,745622.2096,2AE19629231513A3E055000000000001,27206,67140,Killursa,42262547.7,31874.43457
485,67082,DERRYGLASSAUN, ,GALWAY,Gaillimh,Connacht,559224.4268,741701.9775,2AE19629230413A3E055000000000001,27143,67082,Derryglassaun,28320208.98,29277.28167
492,68019,SHANTALLA, ,GALWAY,Gaillimh,Connacht,528705.4719,725570.1973,2AE19629238313A3E055000000000001,26020,68019,Shantalla,508968.3696,3376.723658
536,67046,CAPPARD, ,GALWAY,Gaillimh,Connacht,553628.8319,704640.7589,2AE1962920C013A3E055000000000001,27086,67046,Cappard,14379642.9,18307.1748
540,67137,KILLORAN, ,GALWAY,Gaillimh,Connacht,574641.4123,721920.6054,2AE1962922F713A3E055000000000001,27013,67137,Killoran,19321085.82,26888.02014
562,67217,WORMHOLE, ,GALWAY,Gaillimh,Connacht,519910.6318,739260.879,2AE19629235113A3E055000000000001,27162,67217,Wormhole,60535887.33,41131.01547
573,67023,BALLYGLASS, ,GALWAY,Gaillimh,Connacht,578224.7128,704818.9441,2AE19629207513A3E055000000000001,27164,67023,Ballyglass,13712094.98,15654.39369
576,67146,KILREEKILL, ,GALWAY,Gaillimh,Connacht,569317.2113,721222.1912,2AE19629232F13A3E055000000000001,27121,67146,Kilreekill,22100239.53,28653.99388
615,67071,COOS, ,GALWAY,Gaillimh,Connacht,572462.3235,694290.7789,2AE1962922E613A3E055000000000001,27165,67071,Coos,35104595.19,32876.82071
616,67129,KILLEENAVARRA, ,GALWAY,Gaillimh,Connacht,540538.1913,713240.727,2AE1962922DA13A3E055000000000001,27093,67129,Killeenavarra,25141741.63,24234.08768
