GUID,GEOGID,GEOGDESC,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2DIM,T3_2DIDOM,T3_2DIWOM,T3_2DILOOM,T3_2DINOM,T3_2DOESM,T3_2WOESM,T3_2LOOESM,T3_2NOESM,T3_2NSM,T3_2ALLM,T3_2DIF,T3_2DIDOF,T3_2DIWOF,T3_2DILOOF,T3_2DINOF,T3_2DOESF,T3_2WOESF,T3_2LOOESF,T3_2NOESF,T3_2NSF,T3_2ALLF,T3_2DIT,T3_2DIDOT,T3_2DIWOT,T3_2DILOOT,T3_2DINOT,T3_2DOEST,T3_2WOEST,T3_2LOOEST,T3_2NOEST,T3_2NST,T3_2ALLT
2ae19629-235a-13a3-e055-000000000001,2ae19629-235a-13a3-e055-000000000001,BALLYBAAN,3991,7287,1726,13004,606,17,7,4,1,63,110,595,400,53,1856,666,22,8,3,4,65,124,739,453,51,2135,1272,39,15,7,5,128,234,1334,853,104,3991
2ae19629-235b-13a3-e055-000000000001,2ae19629-235b-13a3-e055-000000000001,BALLYBRIT,316,521,75,912,14,0,0,0,0,10,17,54,44,2,141,28,0,0,0,0,11,13,72,48,3,175,42,0,0,0,0,21,30,126,92,5,316
2ae19629-235c-13a3-e055-000000000001,2ae19629-235c-13a3-e055-000000000001,BARNA,8024,7040,969,16033,985,81,21,9,2,229,299,1254,589,88,3557,1225,102,20,12,1,294,385,1551,796,81,4467,2210,183,41,21,3,523,684,2805,1385,169,8024
2ae19629-235d-13a3-e055-000000000001,2ae19629-235d-13a3-e055-000000000001,CASTLEGAR,1401,2438,353,4192,128,5,1,0,0,38,49,259,138,21,639,170,7,1,0,1,40,52,284,193,14,762,298,12,2,0,1,78,101,543,331,35,1401
2ae19629-235e-13a3-e055-000000000001,2ae19629-235e-13a3-e055-000000000001,CLADDAGH,1181,1288,215,2684,73,3,0,1,0,28,52,238,122,9,526,111,9,3,1,0,36,50,302,128,15,655,184,12,3,2,0,64,102,540,250,24,1181
2ae19629-235f-13a3-e055-000000000001,2ae19629-235f-13a3-e055-000000000001,DANGAN,1912,2066,543,4521,87,6,0,1,1,36,64,378,187,16,776,141,10,3,0,0,37,96,525,299,25,1136,228,16,3,1,1,73,160,903,486,41,1912
2ae19629-2360-13a3-e055-000000000001,2ae19629-2360-13a3-e055-000000000001,EYRE SQUARE,1120,2241,1043,4404,20,3,0,0,1,32,64,235,140,22,517,30,5,0,0,0,29,61,291,173,14,603,50,8,0,0,1,61,125,526,313,36,1120
2ae19629-2361-13a3-e055-000000000001,2ae19629-2361-13a3-e055-000000000001,KNOCKNACARRAGH,765,604,65,1434,63,1,2,0,0,14,44,145,62,8,339,89,4,0,1,0,23,33,172,101,3,426,152,5,2,1,0,37,77,317,163,11,765
2ae19629-236f-13a3-e055-000000000001,2ae19629-236f-13a3-e055-000000000001,LOUGH ATALIA,431,370,65,866,37,4,4,0,0,14,23,60,29,4,175,52,5,5,0,0,17,22,102,45,8,256,89,9,9,0,0,31,45,162,74,12,431
2ae19629-2370-13a3-e055-000000000001,2ae19629-2370-13a3-e055-000000000001,MENLOUGH,2425,2615,227,5267,167,7,4,2,0,64,104,456,248,22,1074,209,12,5,2,0,76,113,595,308,31,1351,376,19,9,4,0,140,217,1051,556,53,2425
