GUID,GEOGID,GEOGDESC,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2DIM,T3_2DIDOM,T3_2DIWOM,T3_2DILOOM,T3_2DINOM,T3_2DOESM,T3_2WOESM,T3_2LOOESM,T3_2NOESM,T3_2NSM,T3_2ALLM,T3_2DIF,T3_2DIDOF,T3_2DIWOF,T3_2DILOOF,T3_2DINOF,T3_2DOESF,T3_2WOESF,T3_2LOOESF,T3_2NOESF,T3_2NSF,T3_2ALLF,T3_2DIT,T3_2DIDOT,T3_2DIWOT,T3_2DILOOT,T3_2DINOT,T3_2DOEST,T3_2WOEST,T3_2LOOEST,T3_2NOEST,T3_2NST,T3_2ALLT
06698531-f7f7-4058-a15f-7d455ef0dd94,06698531-f7f7-4058-a15f-7d455ef0dd94,KILLINAGH/TEEBANE,54,72,11,137,3,0,0,0,0,1,1,7,10,1,23,10,0,0,0,0,1,2,7,11,0,31,13,0,0,0,0,2,3,14,21,1,54
2ae19629-16a3-13a3-e055-000000000001,2ae19629-16a3-13a3-e055-000000000001,BALLYBROPHY,87,115,13,215,13,0,0,0,0,0,3,15,12,3,46,10,0,0,0,0,0,1,17,13,0,41,23,0,0,0,0,0,4,32,25,3,87
2ae19629-16a6-13a3-e055-000000000001,2ae19629-16a6-13a3-e055-000000000001,BALLYLEHANE,79,103,16,198,9,0,0,0,0,1,1,10,15,1,37,17,0,0,0,0,0,1,13,11,0,42,26,0,0,0,0,1,2,23,26,1,79
2ae19629-16b6-13a3-e055-000000000001,2ae19629-16b6-13a3-e055-000000000001,DANGANS,518,874,81,1473,86,0,1,0,1,4,16,50,51,6,215,104,0,0,2,0,1,16,93,72,15,303,190,0,1,2,1,5,32,143,123,21,518
2ae19629-16cb-13a3-e055-000000000001,2ae19629-16cb-13a3-e055-000000000001,KILLABBAN,177,249,11,437,30,1,1,0,1,5,1,19,24,0,82,31,0,0,0,1,3,1,29,29,1,95,61,1,1,0,2,8,2,48,53,1,177
2ae19629-16d1-13a3-e055-000000000001,2ae19629-16d1-13a3-e055-000000000001,DUNMORE,120,145,13,278,12,0,0,0,0,0,3,23,11,1,50,22,0,1,0,0,0,6,28,12,1,70,34,0,1,0,0,0,9,51,23,2,120
2ae19629-16d5-13a3-e055-000000000001,2ae19629-16d5-13a3-e055-000000000001,ERRILL,170,239,9,418,17,1,0,0,0,0,2,18,20,1,59,35,0,4,1,0,0,6,36,25,4,111,52,1,4,1,0,0,8,54,45,5,170
2ae19629-16d6-13a3-e055-000000000001,2ae19629-16d6-13a3-e055-000000000001,FARNANS,85,112,4,201,17,0,0,0,0,0,2,8,11,1,39,11,0,0,0,0,0,4,16,13,2,46,28,0,0,0,0,0,6,24,24,3,85
23519126-bd85-4c40-a1e2-26c5d2b7e51c,23519126-bd85-4c40-a1e2-26c5d2b7e51c,ARIGNA/DRUMKEERAN/KILLARGA,206,377,20,603,21,0,2,0,0,3,4,40,23,2,95,29,0,1,0,0,2,4,47,25,3,111,50,0,3,0,0,5,8,87,48,5,206
2ae19629-16a2-13a3-e055-000000000001,2ae19629-16a2-13a3-e055-000000000001,BALLYBRITTAS,715,695,58,1468,116,0,2,0,1,2,16,94,102,3,336,99,4,1,0,0,2,22,121,127,3,379,215,4,3,0,1,4,38,215,229,6,715
2ae19629-16a7-13a3-e055-000000000001,2ae19629-16a7-13a3-e055-000000000001,BALLYLYNAN,596,831,44,1471,113,0,1,0,1,0,16,59,68,7,265,124,3,1,2,0,9,14,94,77,7,331,237,3,2,2,1,9,30,153,145,14,596
2ae19629-16af-13a3-e055-000000000001,2ae19629-16af-13a3-e055-000000000001,BALLYROAN,510,582,46,1138,68,0,2,0,0,2,14,64,58,4,212,102,3,2,1,0,7,19,88,71,5,298,170,3,4,1,0,9,33,152,129,9,510
2ae19629-16b0-13a3-e055-000000000001,2ae19629-16b0-13a3-e055-000000000001,BARROWHOUSE,252,247,6,505,36,1,0,0,3,0,3,32,34,4,113,54,1,0,0,2,0,8,43,29,2,139,90,2,0,0,5,0,11,75,63,6,252
2ae19629-16b1-13a3-e055-000000000001,2ae19629-16b1-13a3-e055-000000000001,BLANDSFORT,138,184,5,327,18,0,0,0,0,2,2,15,21,1,59,26,0,0,0,1,2,3,32,13,2,79,44,0,0,0,1,4,5,47,34,3,138
2ae19629-16ba-13a3-e055-000000000001,2ae19629-16ba-13a3-e055-000000000001,BORRIS-in-OSSORY,327,585,40,952,39,0,1,1,0,0,9,54,32,4,140,48,2,0,0,0,0,16,84,32,5,187,87,2,1,1,0,0,25,138,64,9,327
