Area,Total,Speaks Irish daily within education system only,Speaks Irish daily within and also outside education ,"Outside education system, daily","Outside education system, weekly","Outside education system, less often","Outside education system, never","Outside education system, not stated",TotalPopulation
001 Ballybaan,3158,668,23,166,189,1188,857,67,9258
002 Baile an Bhriotaihg,285,63,4,21,12,103,77,5,692
003 Bearna,6179,1649,131,472,569,2234,1061,63,12052
004 An Caisleán Gearr,1476,309,8,82,136,600,324,17,3458
005 Claddagh,1212,159,16,83,123,584,226,21,2571
006 Dangan,2151,363,25,120,209,942,467,25,4104
007 Eyre Square,1469,79,12,114,128,736,388,12,4074
008 An Cnocán Carrach,820,160,4,54,73,354,169,6,1391
009 Lough Atalia,554,66,13,43,51,283,88,10,1094
010 Mionlach,2608,437,46,144,239,1119,589,34,5622
011 Mervue,728,107,6,25,49,367,159,15,2070
012 Murroogh,1059,209,8,42,85,432,274,9,2317
013 Newcastle,811,126,8,46,77,392,148,14,1957
014 Nuns Island,703,61,4,50,74,359,144,11,1322
015 Rahoon,1242,254,24,96,109,489,247,23,2780
016 Renmore,713,118,3,31,58,353,141,9,1380
017 Rockbarton,958,157,11,58,97,430,193,12,1777
018 Paróiste San Nicoláis,997,59,8,89,75,457,290,19,2642
019 Salthill,1542,229,19,86,142,711,329,26,3251
020 Shantalla,708,97,14,50,77,326,131,13,1815
021 Taylors Hill,1242,244,14,89,128,521,227,19,2621
022 Wellpark,538,80,2,23,50,234,141,8,1538
001 Ballinasloe Urban,2482,670,41,60,164,933,568,46,5785
002 Abbeygormacan,168,52,4,1,6,65,36,4,402
003 Ahascragh,290,86,2,8,13,112,62,7,603
004 Aughrim,238,85,4,5,13,92,34,5,553
005 Ballinasloe Rural,296,91,6,16,14,104,58,7,555
006 Ballymacward,154,40,2,5,7,56,42,2,308
007 Clonfert,166,54,2,0,8,59,42,1,426
008 Clontuskert,99,23,1,3,7,45,16,4,221
009 Kellysgrove,180,62,7,6,6,63,29,7,335
010 Kilconnell,280,64,3,5,19,115,69,5,658
011 Killaan,234,53,10,4,9,93,51,14,503
012 Killallaghtan,209,53,0,2,13,77,63,1,415
013 Killoran,127,39,0,3,4,39,35,7,277
014 Killure,304,94,3,3,25,113,63,3,763
015 Kilmacshane,83,17,0,0,5,33,26,2,220
016 Kiltormer,244,83,3,4,11,73,64,6,563
017 Kylemore,69,20,1,1,5,25,17,0,167
018 Laurencetown,123,38,0,1,7,42,35,0,362
019 Lismanny,111,39,4,6,10,32,17,3,229
020 Oatfield,203,73,0,3,16,76,33,2,396
021 Ballynakill,168,25,5,10,21,76,29,2,512
022 Binn an Choire,73,14,0,2,17,32,7,1,244
023 Bunowen,149,39,1,5,10,63,20,11,420
024 Cleggan,82,29,0,4,3,30,15,1,282
025 Clifden,586,139,3,40,50,235,109,10,2016
026 Cushkillary,53,8,1,0,9,31,4,0,172
029 Doonloughan,24,7,3,3,2,6,3,0,100
030 Errislannan,65,24,0,2,3,32,4,0,224
031 An Uillinn,75,14,5,15,15,25,0,1,94
032 Inishbofin,48,14,2,3,3,17,8,1,193
033 An Cnoc Buí,707,149,93,390,36,21,2,16,777
034 Maíros,190,38,5,23,31,69,18,6,357
035 Abhainn Ghabhla,272,55,29,146,17,16,1,8,303
036 Rinvyle,354,105,7,19,25,129,66,3,1226
037 Roundstone,184,38,8,15,26,67,26,4,381
038 Sillerna,117,35,0,6,8,47,19,2,433
039 Scainimh,572,111,83,326,25,13,1,13,599
040 Annaghdown,905,189,26,48,94,392,137,19,1609
041 Aughrim,445,116,10,14,25,184,83,13,1012
042 Baile an Teampaill (part),680,176,24,23,61,239,139,18,1333
043 Ballynacourty,580,152,22,21,26,225,126,8,1045
044 Bearna (part),1959,552,86,207,245,645,204,20,2885
045 Belleville,192,41,2,3,13,83,47,3,481
046 Carnmore,1343,377,26,60,139,484,232,25,2053
047 Ceathrú an Bhrúnaigh (part),472,120,10,36,71,169,44,22,839
048 Baile Chláir,955,240,22,44,110,377,148,14,1758
049 Clarinbridge,1297,311,43,47,85,505,294,12,2534
050 Deerpark,458,125,3,17,33,153,116,11,1111
051 Na Forbacha,876,212,61,238,124,177,44,20,1186
052 Galway Rural (part),67,14,8,3,7,26,7,2,127
053 Árainn,1041,175,181,581,40,28,2,34,1192
054 Cill Chuimin,1145,240,156,646,43,24,1,35,1244
055 Cill Aithnín,784,131,146,396,36,64,0,11,911
056 Leacach Beag,606,158,15,22,40,242,119,10,1168
057 Liscananaun,645,150,12,18,62,257,138,8,1279
058 Lisín an Bhealaigh,412,120,7,12,26,141,98,8,850
059 Maigh Cuilinn,1113,344,46,96,118,370,129,10,1678
060 Oranmore,1515,347,28,50,113,599,363,15,3342
061 Sailearna,1201,152,355,581,50,45,2,16,1310
062 Sliabh an Aonaigh,489,93,37,98,63,155,31,12,660
063 An Spidéal,1032,208,172,477,82,77,7,9,1296
064 Stradbally,559,167,26,12,45,191,110,8,981
065 Tulaigh Mhic Aodháin,1020,290,46,85,118,367,102,12,1652
066 Ballinastack,144,32,3,4,3,49,47,6,310
067 Ballymoe,179,54,4,6,7,65,42,1,412
068 Ballynakill,226,50,6,2,10,91,60,7,436
069 Boyounagh,124,41,4,3,9,48,19,0,262
070 Creggs,196,49,1,6,9,69,57,5,384
071 Curraghmore,71,17,1,0,5,24,21,3,168
072 Glennamaddy,375,77,7,5,25,155,97,9,828
073 Island,133,50,3,2,16,34,25,3,276
074 Kilcroan,267,76,6,6,24,83,68,4,522
075 Kiltullagh,76,21,2,1,1,29,22,0,175
076 Raheen,159,40,1,0,12,59,43,4,470
077 Scregg,109,17,2,1,6,41,37,5,212
078 Shankill,133,27,1,4,3,56,31,11,289
079 Templetogher,193,62,4,1,13,54,58,1,405
080 Toberroe,132,42,1,0,11,49,28,1,305
081 Ardamullivan,251,66,5,5,15,96,56,8,549
082 Ardrahan,231,53,6,8,14,104,40,6,458
083 Ballycahalan,84,25,1,4,4,38,10,2,182
084 Beagh,251,80,4,7,11,86,52,11,573
085 Cahermore,186,38,2,2,5,89,41,9,416
086 Cappard,44,14,3,0,1,19,7,0,96
087 Castletaylor,227,65,3,6,15,97,38,3,453
088 Doorus,318,85,5,10,13,133,69,3,640
089 Drumacoo,451,130,7,16,33,165,93,7,950
090 Gort,822,204,6,34,38,340,177,23,2676
091 Kilbeacanty,142,58,2,0,7,41,32,2,275
092 Killeely,591,157,20,10,47,238,110,9,1180
093 Killeenavarra,265,87,2,5,17,89,63,2,609
094 Killinny,159,44,1,2,8,68,33,3,384
095 Kiltartan,323,85,4,6,18,142,59,9,636
096 Kilthomas,33,4,0,0,5,17,7,0,89
097 Kinvarra,483,119,5,10,45,197,99,8,1100
098 Rahasane,153,49,4,2,17,50,27,4,265
099 Skehanagh,215,65,5,4,15,82,43,1,372
100 Aille,210,84,4,3,18,65,34,2,397
101 Athenry,1650,372,29,43,119,664,399,24,3815
102 Ballynagar,81,25,2,0,8,27,16,3,193
103 Bracklagh,168,39,2,2,6,70,45,4,410
104 Bullaun,105,25,1,0,13,41,24,1,204
105 Cappalusk,161,43,1,7,10,60,38,2,339
106 Castleboy,241,82,5,2,20,87,43,2,474
107 Cloonkeen,120,33,1,2,3,47,33,1,333
108 Colmanstown,37,9,0,0,1,13,14,0,91
109 Craughwell,646,187,11,16,53,231,137,11,1287
110 Derrylaur,40,12,1,0,3,18,6,0,110
111 Drumkeary,281,101,1,2,5,112,56,4,553
112 Graigabbey,121,41,3,3,6,43,24,1,272
113 Grange,307,75,4,2,19,116,80,11,653
114 Greethill,375,87,11,7,29,145,83,13,755
115 Kilchreest,158,40,5,5,8,69,29,2,303
116 Kilconickny,234,69,3,5,16,90,47,4,556
117 Kilconierin,195,54,3,4,7,77,45,5,375
118 Killimor,112,27,0,0,4,39,40,2,303
119 Killogilleen,276,57,5,12,28,110,57,7,592
120 Kilmeen,269,69,6,3,21,94,72,4,582
121 Kilreekill,137,33,4,1,4,62,27,6,264
122 Kilteskill,172,63,6,4,9,58,28,4,298
123 Kiltullagh,265,82,3,7,16,98,53,6,602
124 Lackalea,152,45,2,6,11,49,39,0,288
125 Leitrim,178,59,3,5,10,59,40,2,383
127 Loughrea Rural,384,115,8,11,31,128,83,8,843
128 Loughrea Urban,1603,428,13,39,82,642,360,39,4364
130 Mountain,115,37,1,7,8,33,27,2,244
131 Movode,75,16,0,0,3,35,21,0,187
132 Raford,142,38,2,1,4,54,43,0,360
133 Tiaquin,227,48,1,7,17,81,67,6,444
134 Woodford,212,59,4,4,14,95,35,1,488
135 Annagh,148,40,1,2,6,49,43,7,329
136 Ballynakill,253,53,9,2,16,108,56,9,493
137 Caltra,201,51,2,4,13,80,48,3,331
138 Castleblakeney,213,50,1,7,9,97,44,5,457
139 Castleffrench,214,38,1,3,12,93,60,7,451
140 Clonbrock,232,58,3,2,16,76,66,11,487
141 Cloonkeen,143,37,1,2,7,59,36,1,276
142 Cooloo,250,78,2,2,13,91,64,0,494
143 Derryglassaun,371,88,7,6,14,151,99,6,754
144 Killeroran,562,142,6,8,39,216,133,18,1261
145 Killian,160,33,5,4,9,70,30,9,300
146 Mount Bellew,875,266,11,12,48,347,173,18,1641
147 Mounthazel,187,46,2,3,8,69,50,9,428
148 Taghboy,107,41,1,2,4,26,31,2,203
149 Camas,348,87,63,173,13,4,0,8,358
150 An Fhairche,624,145,12,79,97,233,43,15,978
152 An Crompán,2066,425,333,1085,61,51,2,109,2209
153 An Chorr,116,21,6,21,24,34,7,3,158
154 Garmna,1190,326,193,592,23,5,1,50,1248
155 Cill Chuimín,92,29,9,34,10,6,0,4,118
156 Leitir Breacáin,74,10,1,3,5,43,10,2,203
157 Letterfore,142,35,5,12,10,61,13,6,282
158 Leitir Móir,796,162,92,457,35,11,1,38,848
159 Oughterard,1155,267,33,88,137,441,175,14,2464
161 An Turlach,513,118,69,279,12,13,0,22,538
162 Wormhole,915,256,17,44,82,362,134,20,1859
163 Abbeyville,93,20,1,1,4,42,25,0,236
164 Ballyglass,68,22,0,1,6,27,10,2,166
166 Derrew,71,18,2,2,7,28,14,0,152
167 Drummin,183,46,7,5,8,86,27,4,350
168 Eyrecourt,196,50,4,5,7,84,41,5,462
169 Killimor,231,46,4,1,13,102,61,4,675
170 Kilmalinoge,89,22,1,1,4,29,30,2,221
171 Kilquain,131,47,6,2,10,35,28,3,287
172 Meelick,104,22,1,1,5,50,23,2,246
173 Moat,58,14,5,0,4,19,16,0,152
174 Pallas,163,54,0,5,7,57,37,3,400
175 Portumna,761,167,7,5,34,353,178,17,1934
176 Tiranascragh,57,20,0,1,5,18,9,4,159
177 Tynagh,141,29,0,1,11,56,43,1,389
178 Abbey East,256,82,2,2,4,81,80,5,603
179 Abbey West,243,70,5,9,13,88,48,10,557
180 Addergoole,238,66,9,7,15,83,52,6,480
181 Annaghdown,523,148,10,15,36,195,109,10,1175
182 Ballinderry,146,33,1,3,18,62,26,3,307
183 Ballinduff,262,79,0,11,20,103,48,1,580
184 Ballynapark,366,84,1,2,25,170,75,9,806
185 Beaghmore,97,30,0,3,10,36,18,0,269
186 Belclare,292,84,1,5,21,109,67,5,711
187 Carrownagur,163,51,2,3,8,55,42,2,364
188 Carrowrevagh,201,53,2,6,15,66,57,2,383
189 Claretuam,470,120,1,12,39,182,109,7,936
190 Clonbern,172,60,0,2,6,63,41,0,355
191 Cloonkeen,174,41,4,2,7,89,31,0,428
192 Cummer,424,123,7,5,24,160,98,7,887
193 Donaghpatrick,242,82,0,6,10,82,62,0,508
194 Doonbally,257,75,9,7,13,94,55,4,479
195 Dunmore North,250,69,6,3,18,93,57,4,524
196 Dunmore South,407,118,5,4,19,144,102,15,815
197 Foxhall,250,58,5,6,11,87,79,4,531
198 Headford,635,175,11,22,47,220,148,12,1295
199 Hillsbrook,315,85,7,3,9,106,101,4,611
200 Kilbennan,169,32,4,2,7,75,46,3,341
201 Kilcoona,208,58,1,4,15,77,48,5,489
202 Killeany,254,61,3,6,10,115,54,5,503
203 Killeen,295,71,7,2,22,114,75,4,613
204 Killererin,335,99,7,5,11,127,85,1,683
205 Killower,328,65,11,11,24,127,87,3,694
206 Killursa,397,75,4,7,28,188,84,11,892
207 Kilmoylan,384,108,2,14,24,136,92,8,843
208 Kilshanvy,176,44,2,7,21,65,36,1,376
209 Levally,136,34,0,0,7,63,31,1,344
210 Milltown,267,72,3,6,10,105,63,8,525
211 Monivea,286,78,1,4,23,110,65,5,611
212 Moyne,311,88,10,9,24,115,60,5,620
213 Ryehill,219,42,4,13,16,95,46,3,524
214 Toberadosh,147,39,3,2,3,68,31,1,340
215 Tuam Rural,1748,466,30,38,113,642,430,29,4384
216 Tuam Urban,1097,183,15,30,69,506,264,30,2888
