GEOGID,GEOGDESC,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2T,T3_2DW,T3_2DWO,T3_2DO,T3_2WO,T3_2LO,T3_2NO,T3_2NSO,T3_3DM,T3_3WM,T3_3LOM,T3_3NM,T3_3TM,T3_3DF,T3_3WF,T3_3LOF,T3_3NF,T3_3TF,T3_3DT,T3_3WT,T3_3LOT,T3_3NT,T3_3TT
E26001,Ballybaan,3882,7400,200,11482,3882,1144,50,154,268,1378,847,41,13,0,3,2,18,18,5,6,3,32,31,5,9,5,50
E26002,Baile an Bhriotaihg,339,472,54,865,339,72,10,18,20,132,85,2,3,0,0,0,3,5,0,0,2,7,8,0,0,2,10
E26003,Bearna,7070,6346,148,13564,7070,1997,238,524,661,2478,1116,56,65,16,15,6,102,96,21,14,5,136,161,37,29,11,238
E26004,An Caisleán Gearr,1449,2350,113,3912,1449,343,22,78,118,582,288,18,5,2,3,0,10,8,2,2,0,12,13,4,5,0,22
E26005,Claddagh,1193,1136,66,2395,1193,141,34,83,127,534,265,9,11,2,1,2,16,13,3,1,1,18,24,5,2,3,34
E26006,Dangan,1805,1727,40,3572,1805,348,45,69,176,758,397,12,12,4,5,2,23,15,3,2,2,22,27,7,7,4,45
E26007,Eyre Square,1542,2596,285,4423,1542,109,25,97,145,725,421,20,6,0,0,0,6,15,1,3,0,19,21,1,3,0,25
E26008,An Cnocán Carrach,842,612,26,1480,842,154,21,40,70,357,192,8,5,0,1,1,7,10,1,0,3,14,15,1,1,4,21
E26009,Lough Atalia,469,415,7,891,469,76,16,32,43,220,79,3,4,0,0,0,4,9,1,2,0,12,13,1,2,0,16
E26010,Mionlach,2159,2561,103,4823,2159,413,42,126,236,904,418,20,12,1,1,1,15,19,7,1,0,27,31,8,2,1,42
E26011,Mervue,652,1060,38,1750,652,77,13,31,44,333,140,14,5,1,0,0,6,7,0,0,0,7,12,1,0,0,13
E26012,Murroogh,1086,1241,27,2354,1086,186,19,39,85,506,243,8,5,2,0,1,8,8,1,1,1,11,13,3,1,2,19
E26013,Newcastle,734,1015,41,1790,734,104,12,39,76,325,170,8,4,0,0,0,4,6,0,2,0,8,10,0,2,0,12
E26014,Nuns Island,584,642,44,1270,584,49,12,32,78,283,124,6,5,0,0,0,5,6,1,0,0,7,11,1,0,0,12
E26015,Rahoon,1213,1586,55,2854,1213,274,36,77,131,469,217,9,10,4,2,1,17,13,5,1,0,19,23,9,3,1,36
E26016,Renmore,752,600,10,1362,752,106,17,45,79,354,145,6,6,1,3,0,10,4,2,1,0,7,10,3,4,0,17
E26017,Rockbarton,1046,703,128,1877,1046,180,15,64,124,440,218,5,4,1,3,1,9,3,2,0,1,6,7,3,3,2,15
E26018,Paróiste San Nicoláis,891,1515,141,2547,891,70,17,56,75,432,234,7,6,0,1,0,7,8,1,1,0,10,14,1,2,0,17
E26019,Salthill,1626,1691,44,3361,1626,268,43,91,158,689,368,9,8,5,1,0,14,19,6,4,0,29,27,11,5,0,43
E26020,Shantalla,706,884,140,1730,706,93,12,63,77,310,147,4,7,1,0,0,8,3,1,0,0,4,10,2,0,0,12
E26021,Taylors Hill,1225,1118,21,2364,1225,285,26,78,112,516,200,8,6,4,1,0,11,9,6,0,0,15,15,10,1,0,26
E26022,Wellpark,601,1140,64,1805,601,64,16,28,36,301,152,4,6,1,0,0,7,6,0,2,1,9,12,1,2,1,16
E27001,Ballinasloe Urban,2509,3501,109,6119,2509,646,68,60,154,974,571,36,13,6,5,4,28,23,8,5,4,40,36,14,10,8,68
E27002,Abbeygormacan,173,224,5,402,173,47,3,2,9,72,38,2,0,1,1,0,2,1,0,0,0,1,1,1,1,0,3
E27003,Ahascragh,273,333,5,611,273,65,8,5,25,98,71,1,5,0,0,0,5,1,0,2,0,3,6,0,2,0,8
E27004,Aughrim,276,291,11,578,276,88,4,6,11,102,65,0,0,1,1,0,2,0,1,1,0,2,0,2,2,0,4
E27005,Ballinasloe Rural,339,241,5,585,339,109,0,14,14,135,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E27006,Ballymacward,126,168,7,301,126,32,4,4,5,56,23,2,3,0,0,0,3,1,0,0,0,1,4,0,0,0,4
E27007,Clonfert,204,232,10,446,204,66,2,0,7,76,51,2,0,0,0,0,0,0,1,1,0,2,0,1,1,0,2
E27008,Clontuskert,103,103,2,208,103,21,2,2,2,55,19,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2
E27009,Kellysgrove,195,172,6,373,195,53,4,4,12,83,37,2,0,0,0,0,0,1,1,1,1,4,1,1,1,1,4
